id,location_area_id,encounter_slot_id,pokemon_id,min_level,max_level
1,1,28,72,20,30
2,1,29,278,20,30
3,1,30,73,20,40
4,1,31,279,20,40
5,1,32,279,20,40
6,1,13,129,4,6
7,1,14,129,3,7
8,1,15,129,5,10
9,1,16,129,5,10
10,1,17,129,5,10
11,1,18,129,15,20
12,1,19,456,15,20
13,1,20,129,10,25
14,1,21,456,10,25
15,1,22,456,10,25
16,1,23,130,30,40
17,1,24,457,30,40
18,1,25,120,20,40
19,1,26,457,20,50
20,1,27,457,20,50
21,2,28,54,20,30
22,2,29,54,20,40
23,2,30,55,30,40
24,2,31,55,30,40
25,2,32,55,20,40
26,2,13,129,4,6
27,2,14,129,3,7
28,2,15,129,5,10
29,2,16,129,5,10
30,2,17,129,5,10
31,2,18,129,15,20
32,2,19,339,15,20
33,2,20,129,10,25
34,2,21,339,10,25
35,2,22,339,10,25
36,2,23,130,30,40
37,2,24,340,30,40
38,2,25,130,40,55
39,2,26,340,20,50
40,2,27,340,20,50
41,3,28,72,20,30
42,3,29,278,20,30
43,3,30,73,20,40
44,3,31,279,20,40
45,3,32,279,20,40
46,3,13,129,4,6
47,3,14,129,3,7
48,3,15,129,5,10
49,3,16,129,5,10
50,3,17,129,5,10
51,3,18,129,15,20
52,3,19,223,15,20
53,3,20,129,10,25
54,3,21,223,10,25
55,3,22,223,10,25
56,3,23,130,30,40
57,3,24,224,30,40
58,3,25,130,40,55
59,3,26,224,20,50
60,3,27,224,20,50
61,4,28,73,35,45
62,4,29,279,35,45
63,4,30,458,30,40
64,4,31,458,30,40
65,4,32,458,35,45
66,4,13,129,4,6
67,4,14,129,3,7
68,4,15,129,5,10
69,4,16,129,5,10
70,4,17,129,5,10
71,4,18,129,15,20
72,4,19,223,15,20
73,4,20,129,10,25
74,4,21,223,10,25
75,4,22,223,10,25
76,4,23,130,30,40
77,4,24,224,30,40
78,4,25,120,20,40
79,4,26,224,20,50
80,4,27,224,20,50
81,5,28,279,35,40
82,5,29,73,35,40
83,5,30,279,40,45
84,5,31,73,40,45
85,5,32,73,40,45
86,5,13,129,4,6
87,5,14,129,3,7
88,5,15,129,5,10
89,5,16,129,5,10
90,5,17,129,5,10
91,5,18,129,15,20
92,5,19,223,15,20
93,5,20,129,10,25
94,5,21,223,10,25
95,5,22,223,10,25
96,5,23,130,30,40
97,5,24,224,30,40
98,5,25,370,20,30
99,5,26,224,20,50
100,5,27,224,20,50
101,6,1,74,6,6
102,6,2,74,6,6
103,6,3,41,7,7
104,6,4,41,7,7
105,6,5,74,7,7
106,6,6,74,7,7
107,6,7,95,8,8
108,6,8,95,8,8
109,6,9,74,9,9
110,6,10,74,9,9
111,6,11,74,5,5
112,6,12,74,5,5
113,7,1,74,7,7
114,7,2,74,7,7
115,7,3,41,8,8
116,7,4,41,8,8
117,7,5,74,8,8
118,7,6,74,8,8
119,7,7,95,9,9
120,7,8,95,9,9
121,7,9,74,10,10
122,7,10,74,10,10
123,7,11,74,6,6
124,7,12,74,6,6
125,8,1,418,7,7
126,8,1,309,7,7
127,8,2,417,7,7
128,8,2,309,7,7
129,8,3,418,8,8
130,8,4,422,8,8
131,8,5,399,8,8
132,8,5,179,8,8
133,8,6,422,7,7
134,8,6,179,7,7
135,8,7,422,9,9
136,8,8,417,8,8
137,8,9,418,9,9
138,8,9,418,9,9
139,8,9,418,9,9
140,8,9,418,9,9
141,8,9,239,9,9
142,8,9,418,9,9
143,8,10,422,9,9
144,8,10,422,9,9
145,8,10,422,9,9
146,8,10,422,9,9
147,8,10,239,9,9
148,8,10,422,9,9
149,8,11,418,9,9
150,8,11,179,9,9
151,8,12,422,9,9
152,8,12,179,9,9
153,8,28,72,20,30
154,8,29,278,20,30
155,8,30,73,20,40
156,8,31,279,20,40
157,8,32,279,20,40
158,8,13,129,4,6
159,8,14,129,3,7
160,8,15,129,5,10
161,8,16,129,5,10
162,8,17,129,5,10
163,8,18,129,15,20
164,8,19,456,15,20
165,8,20,129,10,25
166,8,21,456,10,25
167,8,22,456,10,25
168,8,23,130,30,40
169,8,24,457,30,40
170,8,25,90,20,40
171,8,26,457,30,50
172,8,27,457,30,50
173,9,1,265,10,10
174,9,1,287,10,10
175,9,2,266,10,10
176,9,2,287,10,10
177,9,3,265,11,11
178,9,3,265,11,11
179,9,3,198,11,11
180,9,4,406,10,10
181,9,4,406,10,10
182,9,4,198,10,10
183,9,5,427,10,10
