pokemon_id,ability_id,is_hidden
1,65,0
1,34,1
2,65,0
2,34,1
3,65,0
3,34,1
4,66,0
4,94,1
5,66,0
5,94,1
6,66,0
6,94,1
7,67,0
7,44,1
8,67,0
8,44,1
9,67,0
9,44,1
10,19,0
10,50,1
11,61,0
12,14,0
12,110,1
13,19,0
13,50,1
14,61,0
15,68,0
15,97,1
16,51,0
16,77,0
16,145,1
17,51,0
17,77,0
17,145,1
18,51,0
18,77,0
18,145,1
19,50,0
19,62,0
19,55,1
20,50,0
20,62,0
20,55,1
21,51,0
21,97,1
22,51,0
22,97,1
23,22,0
23,61,0
23,127,1
24,22,0
24,61,0
24,127,1
25,9,0
25,31,1
26,9,0
26,31,1
27,8,0
27,146,1
28,8,0
28,146,1
29,38,0
29,79,0
29,55,1
30,38,0
30,79,0
30,55,1
31,38,0
31,79,0
31,125,1
32,38,0
32,79,0
32,55,1
33,38,0
33,79,0
33,55,1
34,38,0
34,79,0
34,125,1
35,56,0
35,98,0
35,132,1
36,56,0
36,98,0
36,109,1
37,18,0
37,70,1
38,18,0
38,70,1
39,56,0
39,172,0
39,132,1
40,56,0
40,172,0
40,119,1
41,39,0
41,151,1
42,39,0
42,151,1
43,34,0
43,50,1
44,34,0
44,1,1
45,34,0
45,27,1
46,27,0
46,87,0
46,6,1
47,27,0
47,87,0
47,6,1
48,14,0
48,110,0
48,50,1
49,19,0
49,110,0
49,147,1
50,8,0
50,71,0
50,159,1
51,8,0
51,71,0
51,159,1
52,53,0
52,101,0
52,127,1
53,7,0
53,101,0
53,127,1
54,6,0
54,13,0
54,33,1
55,6,0
55,13,0
55,33,1
56,72,0
56,83,0
56,128,1
57,72,0
57,83,0
57,128,1
58,22,0
58,18,0
58,154,1
59,22,0
59,18,0
59,154,1
60,11,0
60,6,0
60,33,1
61,11,0
61,6,0
61,33,1
62,11,0
62,6,0
62,33,1
63,28,0
63,39,0
63,98,1
64,28,0
64,39,0
64,98,1
65,28,0
65,39,0
65,98,1
66,62,0
66,99,0
66,80,1
67,62,0
67,99,0
67,80,1
68,62,0
68,99,0
68,80,1
69,34,0
69,82,1
70,34,0
70,82,1
71,34,0
71,82,1
72,29,0
72,64,0
72,44,1
73,29,0
73,64,0
73,44,1
74,69,0
74,5,0
74,8,1
75,69,0
75,5,0
75,8,1
76,69,0
76,5,0
76,8,1
77,50,0
77,18,0
77,49,1
78,50,0
78,18,0
78,49,1
79,12,0
79,20,0
79,144,1
80,12,0
80,20,0
80,144,1
81,42,0
81,5,0
81,148,1
82,42,0
82,5,0
82,148,1
83,51,0
83,39,0
83,128,1
84,50,0
84,48,0
84,77,1
85,50,0
85,48,0
85,77,1
86,47,0
86,93,0
86,115,1
87,47,0
87,93,0
87,115,1
88,1,0
88,60,0
88,143,1
89,1,0
89,60,0
89,143,1
90,75,0
90,92,0
90,142,1
91,75,0
91,92,0
91,142,1
92,26,0
93,26,0
94,26,0
95,69,0
95,5,0
95,133,1
96,15,0
96,108,0
96,39,1
97,15,0
97,108,0
97,39,1
98,52,0
