pokemon_form_id,generation_id
1,1
1,2
1,3
1,4
1,5
1,6
2,1
2,2
2,3
2,4
2,5
2,6
3,1
3,2
3,3
3,4
3,5
3,6
4,1
4,2
4,3
4,4
4,5
4,6
5,1
5,2
5,3
5,4
5,5
5,6
6,1
6,2
6,3
6,4
6,5
6,6
7,1
7,2
7,3
7,4
7,5
7,6
8,1
8,2
8,3
8,4
8,5
8,6
9,1
9,2
9,3
9,4
9,5
9,6
10,1
10,2
10,3
10,4
10,5
10,6
11,1
11,2
11,3
11,4
11,5
11,6
12,1
12,2
12,3
12,4
12,5
12,6
13,1
13,2
13,3
13,4
13,5
13,6
14,1
14,2
14,3
14,4
14,5
14,6
15,1
15,2
15,3
15,4
15,5
15,6
16,1
16,2
16,3
16,4
16,5
16,6
17,1
17,2
17,3
17,4
17,5
17,6
18,1
18,2
18,3
18,4
18,5
18,6
19,1
19,2
19,3
19,4
19,5
19,6
20,1
20,2
20,3
20,4
20,5
20,6
21,1
21,2
21,3
21,4
21,5
21,6
22,1
22,2
22,3
22,4
22,5
22,6
23,1
23,2
23,3
23,4
23,5
23,6
24,1
24,2
24,3
24,4
24,5
24,6
25,1
25,2
25,3
25,4
25,5
25,6
26,1
26,2
26,3
26,4
26,5
26,6
27,1
27,2
27,3
27,4
27,5
27,6
28,1
28,2
28,3
28,4
28,5
28,6
29,1
29,2
29,3
29,4
29,5
29,6
30,1
30,2
30,3
30,4
30,5
30,6
31,1
31,2
31,3
31,4
31,5
31,6
32,1
32,2
32,3
32,4
32,5
32,6
33,1
33,2
33,3
33,4
33,5
33,6
34,1
34,2
34,3
34,4
34,5
34,6
35,1
35,2
35,3
35,4
35,5
35,6
36,1
36,2
36,3
36,4
36,5
36,6
37,1
37,2
37,3
37,4
37,5
37,6
38,1
38,2
38,3
38,4
38,5
38,6
39,1
39,2
39,3
39,4
39,5
39,6
40,1
40,2
40,3
40,4
40,5
40,6
41,1
41,2
41,3
41,4
41,5
41,6
42,1
42,2
42,3
42,4
42,5
42,6
43,1
43,2
43,3
43,4
43,5
43,6
44,1
44,2
44,3
44,4
44,5
44,6
45,1
45,2
45,3
45,4
45,5
45,6
46,1
46,2
46,3
46,4
46,5
46,6
47,1
47,2
47,3
47,4
47,5
47,6
48,1
48,2
48,3
48,4
48,5
48,6
49,1
49,2
49,3
49,4
49,5
49,6
50,1
50,2
50,3
50,4
50,5
50,6
51,1
51,2
51,3
51,4
51,5
51,6
52,1
52,2
52,3
52,4
52,5
52,6
53,1
53,2
53,3
53,4
53,5
53,6
54,1
54,2
54,3
54,4
54,5
54,6
55,1
55,2
55,3
55,4
55,5
55,6
56,1
56,2
56,3
56,4
56,5
56,6
57,1
57,2
57,3
57,4
57,5
57,6
58,1
58,2
58,3
58,4
58,5
58,6
59,1
59,2
59,3
59,4
59,5
59,6
60,1
60,2
60,3
60,4
60,5
60,6
61,1
61,2
61,3
61,4
61,5
61,6
62,1
62,2
62,3
62,4
62,5
62,6
63,1
63,2
63,3
63,4
63,5
63,6
64,1
64,2
64,3
64,4
64,5
64,6
65,1
65,2
65,3
65,4
65,5
65,6
66,1
66,2
66,3
66,4
66,5
66,6
67,1
67,2
67,3
67,4
67,5
67,6
68,1
68,2
68,3
68,4
68,5
68,6
69,1
69,2
69,3
69,4
69,5
69,6
70,1
70,2
70,3
70,4
70,5
70,6
71,1
71,2
71,3
71,4
71,5
71,6
72,1
72,2
72,3
72,4
72,5
72,6
73,1
73,2
73,3
73,4
73,5
73,6
74,1
74,2
74,3
74,4
74,5
74,6
75,1
75,2
75,3
75,4
75,5
75,6
76,1
76,2
76,3
76,4
76,5
76,6
77,1
77,2
77,3
77,4
77,5
77,6
78,1
78,2
78,3
78,4
78,5
78,6
79,1
79,2
79,3
79,4
79,5
79,6
80,1
80,2
80,3
80,4
80,5
80,6
81,1
81,2
81,3
81,4
81,5
81,6
82,1
82,2
82,3
82,4
82,5
82,6
83,1
83,2
83,3
83,4
83,5
83,6
84,1
84,2
84,3
84,4
84,5
84,6
85,1
85,2
85,3
85,4
85,5
85,6
86,1
86,2
86,3
86,4
86,5
86,6
87,1
87,2
87,3
87,4
87,5
87,6
88,1
88,2
88,3
88,4
88,5
88,6
89,1
89,2
89,3
89,4
89,5
89,6
90,1
90,2
90,3
90,4
90,5
90,6
91,1
91,2
91,3
91,4
91,5
91,6
92,1
92,2
92,3
92,4
92,5
92,6
93,1
93,2
93,3
93,4
93,5
93,6
94,1
94,2
94,3
94,4
94,5
94,6
95,1
95,2
95,3
95,4
95,5
95,6
96,1
96,2
96,3
96,4
96,5
96,6
97,1
97,2
97,3
97,4
97,5
97,6
98,1
98,2
98,3
98,4
98,5
98,6
99,1
99,2
99,3
99,4
99,5
99,6
100,1
100,2
100,3
100,4
100,5
100,6
101,1
101,2
101,3
101,4
101,5
101,6
102,1
102,2
102,3
102,4
102,5
102,6
103,1
103,2
103,3
103,4
103,5
103,6
104,1
104,2
104,3
104,4
104,5
104,6
105,1
105,2
105,3
105,4
105,5
105,6
106,1
106,2
106,3
106,4
106,5
106,6
107,1
107,2
107,3
107,4
107,5
107,6
108,1
108,2
108,3
108,4
108,5
108,6
109,1
109,2
109,3
109,4
109,5
109,6
110,1
110,2
110,3
110,4
110,5
110,6
111,1
111,2
111,3
111,4
111,5
111,6
112,1
112,2
112,3
112,4
112,5
112,6
113,1
113,2
113,3
113,4
113,5
113,6
114,1
114,2
114,3
114,4
114,5
114,6
115,1
115,2
115,3
115,4
115,5
115,6
116,1
116,2
116,3
116,4
116,5
116,6
117,1
117,2
117,3
117,4
117,5
117,6
118,1
118,2
118,3
118,4
118,5
118,6
119,1
119,2
119,3
119,4
119,5
119,6
120,1
120,2
120,3
120,4
120,5
120,6
121,1
121,2
121,3
121,4
121,5
121,6
122,1
122,2
122,3
122,4
122,5
122,6
123,1
123,2
123,3
123,4
123,5
123,6
124,1
124,2
124,3
124,4
124,5
124,6
125,1
125,2
125,3
125,4
125,5
125,6
126,1
126,2
126,3
126,4
126,5
126,6
127,1
127,2
127,3
127,4
127,5
127,6
128,1
128,2
128,3
128,4
128,5
128,6
129,1
129,2
129,3
129,4
129,5
129,6
130,1
130,2
130,3
130,4
130,5
130,6
131,1
131,2
131,3
131,4
131,5
131,6
132,1
132,2
132,3
132,4
132,5
132,6
133,1
133,2
133,3
133,4
133,5
133,6
134,1
134,2
134,3
134,4
134,5
134,6
135,1
135,2
135,3
135,4
135,5
135,6
136,1
136,2
136,3
136,4
136,5
136,6
137,1
137,2
137,3
137,4
137,5
137,6
138,1
138,2
138,3
138,4
138,5
138,6
139,1
139,2
139,3
139,4
139,5
139,6
140,1
140,2
140,3
140,4
140,5
140,6
141,1
141,2
141,3
141,4
141,5
141,6
142,1
142,2
142,3
142,4
142,5
142,6
143,1
143,2
143,3
143,4
143,5
143,6
144,1
144,2
144,3
144,4
144,5
144,6
145,1
145,2
145,3
145,4
145,5
145,6
146,1
146,2
146,3
146,4
146,5
146,6
147,1
147,2
147,3
147,4
147,5
147,6
148,1
148,2
148,3
148,4
148,5
148,6
149,1
149,2
149,3
149,4
149,5
149,6
150,1
150,2
150,3
150,4
150,5
150,6
151,1
151,2
151,3
151,4
151,5
151,6
152,2
152,3
152,4
152,5
152,6
153,2
153,3
153,4
153,5
153,6
154,2
154,3
154,4
154,5
154,6
155,2
155,3
155,4
155,5
155,6
156,2
156,3
156,4
156,5
156,6
157,2
157,3
157,4
157,5
157,6
158,2
158,3
158,4
158,5
158,6
159,2
159,3
159,4
159,5
159,6
160,2
160,3
160,4
160,5
160,6
161,2
161,3
161,4
161,5
161,6
162,2
162,3
162,4
162,5
162,6
163,2
163,3
163,4
163,5
163,6
164,2
164,3
164,4
164,5
164,6
165,2
165,3
165,4
165,5
165,6
166,2
166,3
166,4
166,5
166,6
167,2
167,3
167,4
167,5
167,6
168,2
168,3
168,4
168,5
168,6
169,2
169,3
169,4
169,5
169,6
170,2
170,3
170,4
170,5
170,6
171,2
171,3
171,4
171,5
171,6
172,2
172,3
172,4
172,5
172,6
173,2
173,3
173,4
173,5
173,6
174,2
174,3
174,4
174,5
174,6
175,2
175,3
175,4
175,5
175,6
176,2
176,3
176,4
176,5
176,6
177,2
177,3
177,4
177,5
177,6
178,2
178,3
178,4
178,5
178,6
179,2
179,3
179,4
179,5
179,6
180,2
180,3
180,4
180,5
180,6
181,2
181,3
181,4
181,5
181,6
182,2
182,3
182,4
182,5
182,6
183,2
183,3
183,4
183,5
183,6
184,2
184,3
184,4
184,5
184,6
185,2
185,3
185,4
185,5
185,6
186,2
186,3
186,4
186,5
186,6
187,2
187,3
187,4
187,5
187,6
188,2
188,3
188,4
188,5
188,6
189,2
189,3
189,4
189,5
189,6
190,2
190,3
190,4
190,5
190,6
191,2
191,3
191,4
191,5
191,6
192,2
192,3
192,4
192,5
192,6
193,2
193,3
193,4
193,5
193,6
194,2
194,3
194,4
194,5
194,6
195,2
195,3
195,4
195,5
195,6
196,2
196,3
196,4
196,5
196,6
197,2
197,3
197,4
197,5
197,6
198,2
198,3
198,4
198,5
198,6
199,2
199,3
199,4
199,5
199,6
200,2
200,3
200,4
200,5
200,6
201,2
201,3
201,4
201,5
201,6
202,2
202,3
202,4
202,5
202,6
203,2
203,3
203,4
203,5
203,6
204,2
204,3
204,4
204,5
204,6
205,2
205,3
205,4
205,5
205,6
206,2
206,3
206,4
206,5
206,6
207,2
207,3
207,4
207,5
207,6
208,2
208,3
208,4
208,5
208,6
209,2
209,3
209,4
209,5
209,6
210,2
210,3
210,4
210,5
210,6
211,2
211,3
211,4
211,5
211,6
212,2
212,3
212,4
212,5
212,6
213,2
213,3
213,4
213,5
213,6
214,2
214,3
214,4
214,5
214,6
215,2
215,3
215,4
215,5
215,6
216,2
216,3
216,4
216,5
216,6
217,2
217,3
217,4
217,5
217,6
218,2
218,3
218,4
218,5
218,6
219,2
219,3
219,4
219,5
219,6
220,2
220,3
220,4
220,5
220,6
221,2
221,3
221,4
221,5
221,6
222,2
222,3
222,4
222,5
222,6
223,2
223,3
223,4
223,5
223,6
224,2
224,3
224,4
224,5
224,6
225,2
225,3
225,4
225,5
225,6
226,2
226,3
226,4
226,5
226,6
227,2
227,3
227,4
227,5
227,6
228,2
228,3
228,4
228,5
228,6
229,2
229,3
229,4
229,5
229,6
230,2
230,3
230,4
230,5
230,6
231,2
231,3
231,4
231,5
231,6
232,2
232,3
232,4
232,5
232,6
233,2
233,3
233,4
233,5
233,6
234,2
234,3
234,4
234,5
234,6
235,2
235,3
235,4
235,5
235,6
236,2
236,3
236,4
236,5
236,6
237,2
237,3
237,4
237,5
237,6
238,2
238,3
238,4
238,5
238,6
239,2
239,3
239,4
239,5
239,6
240,2
240,3
240,4
240,5
240,6
241,2
241,3
241,4
241,5
241,6
242,2
242,3
242,4
242,5
242,6
243,2
243,3
243,4
243,5
243,6
244,2
244,3
244,4
244,5
244,6
245,2
245,3
245,4
245,5
245,6
246,2
246,3
246,4
246,5
246,6
247,2
247,3
247,4
247,5
247,6
248,2
248,3
248,4
248,5
248,6
249,2
249,3
249,4
249,5
249,6
250,2
250,3
250,4
250,5
250,6
251,2
251,3
251,4
251,5
251,6
252,3
252,4
252,5
252,6
253,3
253,4
253,5
253,6
254,3
254,4
254,5
254,6
255,3
255,4
255,5
255,6
256,3
256,4
256,5
256,6
257,3
257,4
257,5
257,6
258,3
258,4
258,5
258,6
259,3
259,4
259,5
259,6
260,3
260,4
260,5
260,6
261,3
261,4
261,5
261,6
262,3
262,4
262,5
262,6
263,3
263,4
263,5
263,6
264,3
264,4
264,5
264,6
265,3
265,4
265,5
265,6
266,3
266,4
266,5
266,6
267,3
267,4
267,5
267,6
268,3
268,4
268,5
268,6
269,3
269,4
269,5
269,6
270,3
270,4
270,5
270,6
271,3
271,4
271,5
271,6
272,3
272,4
272,5
272,6
273,3
273,4
273,5
273,6
274,3
274,4
274,5
274,6
275,3
275,4
275,5
275,6
276,3
276,4
276,5
276,6
277,3
277,4
277,5
277,6
278,3
278,4
278,5
278,6
279,3
279,4
279,5
279,6
280,3
280,4
280,5
280,6
281,3
281,4
281,5
281,6
282,3
282,4
282,5
282,6
283,3
283,4
283,5
283,6
284,3
284,4
284,5
284,6
285,3
285,4
285,5
285,6
286,3
286,4
286,5
286,6
287,3
287,4
287,5
287,6
288,3
288,4
288,5
288,6
289,3
289,4
289,5
289,6
290,3
290,4
290,5
290,6
291,3
291,4
291,5
291,6
292,3
292,4
292,5
292,6
293,3
293,4
293,5
293,6
294,3
294,4
294,5
294,6
295,3
295,4
295,5
295,6
296,3
296,4
296,5
296,6
297,3
297,4
297,5
297,6
298,3
298,4
298,5
298,6
299,3
299,4
299,5
299,6
300,3
300,4
300,5
300,6
301,3
301,4
301,5
301,6
302,3
302,4
302,5
302,6
303,3
303,4
303,5
303,6
304,3
304,4
304,5
304,6
305,3
305,4
305,5
305,6
306,3
306,4
306,5
306,6
307,3
307,4
307,5
307,6
308,3
308,4
308,5
308,6
309,3
309,4
309,5
309,6
310,3
310,4
310,5
310,6
311,3
311,4
311,5
311,6
312,3
312,4
312,5
312,6
313,3
313,4
313,5
313,6
314,3
314,4
314,5
314,6
315,3
315,4
315,5
315,6
316,3
316,4
316,5
316,6
317,3
317,4
317,5
317,6
318,3
318,4
318,5
318,6
319,3
319,4
319,5
319,6
320,3
320,4
320,5
320,6
321,3
321,4
321,5
321,6
322,3
322,4
322,5
322,6
323,3
323,4
323,5
323,6
324,3
324,4
324,5
324,6
325,3
325,4
325,5
325,6
326,3
326,4
326,5
326,6
327,3
327,4
327,5
327,6
328,3
328,4
328,5
328,6
329,3
329,4
329,5
329,6
330,3
330,4
330,5
330,6
331,3
331,4
331,5
331,6
332,3
332,4
332,5
332,6
333,3
333,4
333,5
333,6
334,3
334,4
334,5
334,6
335,3
335,4
335,5
335,6
336,3
336,4
336,5
336,6
337,3
337,4
337,5
337,6
338,3
338,4
338,5
338,6
339,3
339,4
339,5
339,6
340,3
340,4
340,5
340,6
341,3
341,4
341,5
341,6
342,3
342,4
342,5
342,6
343,3
343,4
343,5
343,6
344,3
344,4
344,5
344,6
345,3
345,4
345,5
345,6
346,3
346,4
346,5
346,6
347,3
347,4
347,5
347,6
348,3
348,4
348,5
348,6
349,3
349,4
349,5
349,6
350,3
350,4
350,5
350,6
351,3
351,4
351,5
351,6
352,3
352,4
352,5
352,6
353,3
353,4
353,5
353,6
354,3
354,4
354,5
354,6
355,3
355,4
355,5
355,6
356,3
356,4
356,5
356,6
357,3
357,4
357,5
357,6
358,3
358,4
358,5
358,6
359,3
359,4
359,5
359,6
360,3
360,4
360,5
360,6
361,3
361,4
361,5
361,6
362,3
362,4
362,5
362,6
363,3
363,4
363,5
363,6
364,3
364,4
364,5
364,6
365,3
365,4
365,5
365,6
366,3
366,4
366,5
366,6
367,3
367,4
367,5
367,6
368,3
368,4
368,5
368,6
369,3
369,4
369,5
369,6
370,3
370,4
370,5
370,6
371,3
371,4
371,5
371,6
372,3
372,4
372,5
372,6
373,3
373,4
373,5
373,6
374,3
374,4
374,5
374,6
375,3
375,4
375,5
375,6
376,3
376,4
376,5
376,6
377,3
377,4
377,5
377,6
378,3
378,4
378,5
378,6
379,3
379,4
379,5
379,6
380,3
380,4
380,5
380,6
381,3
381,4
381,5
381,6
382,3
382,4
382,5
382,6
383,3
383,4
383,5
383,6
384,3
384,4
384,5
384,6
385,3
385,4
385,5
385,6
386,3
386,4
386,5
386,6
387,4
387,5
387,6
388,4
388,5
388,6
389,4
389,5
389,6
390,4
390,5
390,6
391,4
391,5
391,6
392,4
392,5
392,6
393,4
393,5
393,6
394,4
394,5
394,6
395,4
395,5
395,6
396,4
396,5
396,6
397,4
397,5
397,6
398,4
398,5
398,6
399,4
399,5
399,6
400,4
400,5
400,6
401,4
401,5
401,6
402,4
402,5
402,6
403,4
403,5
403,6
404,4
404,5
404,6
405,4
405,5
405,6
406,4
406,5
406,6
407,4
407,5
407,6
408,4
408,5
408,6
409,4
409,5
409,6
410,4
410,5
410,6
411,4
411,5
411,6
412,4
412,5
412,6
413,4
413,5
413,6
414,4
414,5
414,6
415,4
415,5
415,6
416,4
416,5
416,6
417,4
417,5
417,6
418,4
418,5
418,6
419,4
419,5
419,6
420,4
420,5
420,6
421,4
421,5
421,6
422,4
422,5
422,6
423,4
423,5
423,6
424,4
424,5
424,6
425,4
425,5
425,6
426,4
426,5
426,6
427,4
427,5
427,6
428,4
428,5
428,6
429,4
429,5
429,6
430,4
430,5
430,6
431,4
431,5
431,6
432,4
432,5
432,6
433,4
433,5
433,6
434,4
434,5
434,6
435,4
435,5
435,6
436,4
436,5
436,6
437,4
437,5
437,6
438,4
438,5
438,6
439,4
439,5
439,6
440,4
440,5
440,6
441,4
441,5
441,6
442,4
442,5
442,6
443,4
443,5
443,6
444,4
444,5
444,6
445,4
445,5
445,6
446,4
446,5
446,6
447,4
447,5
447,6
448,4
448,5
448,6
449,4
449,5
449,6
450,4
450,5
450,6
451,4
451,5
451,6
452,4
452,5
452,6
453,4
453,5
453,6
454,4
454,5
454,6
455,4
455,5
455,6
456,4
456,5
456,6
457,4
457,5
457,6
458,4
458,5
458,6
459,4
459,5
459,6
460,4
460,5
460,6
461,4
461,5
461,6
462,4
462,5
462,6
463,4
463,5
463,6
464,4
464,5
