id,identifier,generation_id,evolves_from_species_id,evolution_chain_id,color_id,shape_id,habitat_id,gender_rate,capture_rate,base_happiness,is_baby,hatch_counter,has_gender_differences,growth_rate_id
1,bulbasaur,1,,1,5,8,3,1,45,70,0,20,0,4
2,ivysaur,1,1,1,5,8,3,1,45,70,0,20,0,4
3,venusaur,1,2,1,5,8,3,1,45,70,0,20,1,4
4,charmander,1,,2,8,6,4,1,45,70,0,20,0,4
5,charmeleon,1,4,2,8,6,4,1,45,70,0,20,0,4
6,charizard,1,5,2,8,6,4,1,45,70,0,20,0,4
7,squirtle,1,,3,2,6,9,1,45,70,0,20,0,4
8,wartortle,1,7,3,2,6,9,1,45,70,0,20,0,4
9,blastoise,1,8,3,2,6,9,1,45,70,0,20,0,4
10,caterpie,1,,4,5,2,2,4,255,70,0,15,0,2
11,metapod,1,10,4,5,2,2,4,120,70,0,15,0,2
12,butterfree,1,11,4,9,13,2,4,45,70,0,15,1,2
13,weedle,1,,5,3,2,2,4,255,70,0,15,0,2
14,kakuna,1,13,5,10,2,2,4,120,70,0,15,0,2
15,beedrill,1,14,5,10,13,2,4,45,70,0,15,0,2
16,pidgey,1,,6,3,9,2,4,255,70,0,15,0,4
17,pidgeotto,1,16,6,3,9,2,4,120,70,0,15,0,4
18,pidgeot,1,17,6,3,9,2,4,45,70,0,15,0,4
19,rattata,1,,7,7,8,3,4,255,70,0,15,1,2
20,raticate,1,19,7,3,8,3,4,127,70,0,15,1,2
21,spearow,1,,8,3,9,6,4,255,70,0,15,0,2
22,fearow,1,21,8,3,9,6,4,90,70,0,15,0,2
23,ekans,1,,9,7,2,3,4,255,70,0,20,0,2
24,arbok,1,23,9,7,2,3,4,90,70,0,20,0,2
25,pikachu,1,172,10,10,8,2,4,190,70,0,10,1,2
26,raichu,1,25,10,10,6,2,4,75,70,0,10,1,2
27,sandshrew,1,,11,10,6,6,4,255,70,0,20,0,2
28,sandslash,1,27,11,10,6,6,4,90,70,0,20,0,2
29,nidoran-f,1,,12,2,8,3,8,235,70,0,20,0,4
30,nidorina,1,29,12,2,8,3,8,120,70,0,20,0,4
31,nidoqueen,1,30,12,2,6,3,8,45,70,0,20,0,4
32,nidoran-m,1,,13,7,8,3,0,235,70,0,20,0,4
33,nidorino,1,32,13,7,8,3,0,120,70,0,20,0,4
34,nidoking,1,33,13,7,6,3,0,45,70,0,20,0,4
35,clefairy,1,173,14,6,6,4,6,150,140,0,10,0,3
36,clefable,1,35,14,6,6,4,6,25,140,0,10,0,3
37,vulpix,1,,15,3,8,3,6,190,70,0,20,0,2
38,ninetales,1,37,15,10,8,3,6,75,70,0,20,0,2
39,jigglypuff,1,174,16,6,12,3,6,170,70,0,10,0,3
40,wigglytuff,1,39,16,6,12,3,6,50,70,0,10,0,3
41,zubat,1,,17,7,9,1,4,255,70,0,15,1,2
42,golbat,1,41,17,7,9,1,4,90,70,0,15,1,2
43,oddish,1,,18,2,7,3,4,255,70,0,20,0,4
44,gloom,1,43,18,2,12,3,4,120,70,0,20,1,4
45,vileplume,1,44,18,8,12,3,4,45,70,0,20,1,4
46,paras,1,,19,8,14,2,4,190,70,0,20,0,2
47,parasect,1,46,19,8,14,2,4,75,70,0,20,0,2
48,venonat,1,,20,7,12,2,4,190,70,0,20,0,2
49,venomoth,1,48,20,7,13,2,4,75,70,0,20,0,2
50,diglett,1,,21,3,5,1,4,255,70,0,20,0,2
51,dugtrio,1,50,21,3,11,1,4,50,70,0,20,0,2
52,meowth,1,,22,10,8,8,4,255,70,0,20,0,2
53,persian,1,52,22,10,8,8,4,90,70,0,20,0,2
54,psyduck,1,,23,10,6,9,4,190,70,0,20,0,2
55,golduck,1,54,23,2,6,9,4,75,70,0,20,0,2
56,mankey,1,,24,3,6,4,4,190,70,0,20,0,2
57,primeape,1,56,24,3,6,4,4,75,70,0,20,0,2
58,growlithe,1,,25,3,8,3,2,190,70,0,20,0,1
59,arcanine,1,58,25,3,8,3,2,75,70,0,20,0,1
60,poliwag,1,,26,2,7,9,4,255,70,0,20,0,4
61,poliwhirl,1,60,26,2,12,9,4,120,70,0,20,0,4
62,poliwrath,1,61,26,2,12,9,4,45,70,0,20,0,4
63,abra,1,,27,3,6,8,2,200,70,0,20,0,4
64,kadabra,1,63,27,3,6,8,2,100,70,0,20,1,4
65,alakazam,1,64,27,3,12,8,2,50,70,0,20,1,4
66,machop,1,,28,4,6,4,2,180,70,0,20,0,4
67,machoke,1,66,28,4,12,4,2,90,70,0,20,0,4
68,machamp,1,67,28,4,12,4,2,45,70,0,20,0,4
69,bellsprout,1,,29,5,12,2,4,255,70,0,20,0,4
70,weepinbell,1,69,29,5,5,2,4,120,70,0,20,0,4
71,victreebel,1,70,29,5,5,2,4,45,70,0,20,0,4
72,tentacool,1,,30,2,10,7,4,190,70,0,20,0,1
73,tentacruel,1,72,30,2,10,7,4,60,70,0,20,0,1
74,geodude,1,,31,3,4,4,4,255,70,0,15,0,4
75,graveler,1,74,31,3,12,4,4,120,70,0,15,0,4
76,golem,1,75,31,3,12,4,4,45,70,0,15,0,4
77,ponyta,1,,32,10,8,3,4,190,70,0,20,0,2
78,rapidash,1,77,32,10,8,3,4,60,70,0,20,0,2
79,slowpoke,1,,33,6,8,9,4,190,70,0,20,0,2
80,slowbro,1,79,33,6,6,9,4,75,70,0,20,0,2
81,magnemite,1,,34,4,4,6,-1,190,70,0,20,0,2
82,magneton,1,81,34,4,11,6,-1,60,70,0,20,0,2
83,farfetchd,1,,35,3,9,3,4,45,70,0,20,0,2
84,doduo,1,,36,3,7,3,4,190,70,0,20,1,2
85,dodrio,1,84,36,3,7,3,4,45,70,0,20,1,2
86,seel,1,,37,9,3,7,4,190,70,0,20,0,2
87,dewgong,1,86,37,9,3,7,4,75,70,0,20,0,2
88,grimer,1,,38,7,4,8,4,190,70,0,20,0,2
89,muk,1,88,38,7,4,8,4,75,70,0,20,0,2
90,shellder,1,,39,7,1,7,4,190,70,0,20,0,1
91,cloyster,1,90,39,7,1,7,4,60,70,0,20,0,1
92,gastly,1,,40,7,1,1,4,190,70,0,20,0,4
93,haunter,1,92,40,7,4,1,4,90,70,0,20,0,4
94,gengar,1,93,40,7,6,1,4,45,70,0,20,0,4
95,onix,1,,41,4,2,1,4,45,70,0,25,0,2
96,drowzee,1,,42,10,12,3,4,190,70,0,20,0,2
97,hypno,1,96,42,10,12,3,4,75,70,0,20,1,2
98,krabby,1,,43,8,14,9,4,225,70,0,20,0,2
99,kingler,1,98,43,8,14,9,4,60,70,0,20,0,2
100,voltorb,1,,44,8,1,8,-1,190,70,0,20,0,2
101,electrode,1,100,44,8,1,8,-1,60,70,0,20,0,2
102,exeggcute,1,,45,6,11,2,4,90,70,0,20,0,1
103,exeggutor,1,102,45,10,7,2,4,45,70,0,20,0,1
104,cubone,1,,46,3,6,4,4,190,70,0,20,0,2
105,marowak,1,104,46,3,6,4,4,75,70,0,20,0,2
106,hitmonlee,1,236,47,3,12,8,0,45,70,0,25,0,2
107,hitmonchan,1,236,47,3,12,8,0,45,70,0,25,0,2
108,lickitung,1,,48,6,6,3,4,45,70,0,20,0,2
109,koffing,1,,49,7,1,8,4,190,70,0,20,0,2
110,weezing,1,109,49,7,11,8,4,60,70,0,20,0,2
111,rhyhorn,1,,50,4,8,6,4,120,70,0,20,1,1
112,rhydon,1,111,50,4,6,6,4,60,70,0,20,1,1
113,chansey,1,440,51,6,6,8,8,30,140,0,40,0,3
114,tangela,1,,52,2,7,3,4,45,70,0,20,0,2
115,kangaskhan,1,,53,3,6,3,8,45,70,0,20,0,2
116,horsea,1,,54,2,5,7,4,225,70,0,20,0,2
117,seadra,1,116,54,2,5,7,4,75,70,0,20,0,2
118,goldeen,1,,55,8,3,9,4,225,70,0,20,1,2
119,seaking,1,118,55,8,3,9,4,60,70,0,20,1,2
120,staryu,1,,56,3,5,7,-1,225,70,0,20,0,1
121,starmie,1,120,56,7,5,7,-1,60,70,0,20,0,1
122,mr-mime,1,439,57,6,12,8,4,45,70,0,25,0,2
123,scyther,1,,58,5,13,3,4,45,70,0,25,1,2
124,jynx,1,238,59,8,12,8,8,45,70,0,25,0,2
125,electabuzz,1,239,60,10,6,3,2,45,70,0,25,0,2
126,magmar,1,240,61,8,6,4,2,45,70,0,25,0,2
127,pinsir,1,,62,3,12,2,4,45,70,0,25,0,1
128,tauros,1,,63,3,8,3,0,45,70,0,20,0,1
129,magikarp,1,,64,8,3,9,4,255,70,0,5,1,1
130,gyarados,1,129,64,2,2,9,4,45,70,0,5,1,1
131,lapras,1,,65,2,3,7,4,45,70,0,40,0,1
132,ditto,1,,66,7,1,8,-1,35,70,0,20,0,2
133,eevee,1,,67,3,8,8,1,45,70,0,35,0,2
134,vaporeon,1,133,67,2,8,8,1,45,70,0,35,0,2
135,jolteon,1,133,67,10,8,8,1,45,70,0,35,0,2
136,flareon,1,133,67,8,8,8,1,45,70,0,35,0,2
137,porygon,1,,68,6,7,8,-1,45,70,0,20,0,2
138,omanyte,1,,69,2,10,7,1,45,70,0,30,0,2
139,omastar,1,138,69,2,10,7,1,45,70,0,30,0,2
140,kabuto,1,,70,3,14,7,1,45,70,0,30,0,2
141,kabutops,1,140,70,3,6,7,1,45,70,0,30,0,2
142,aerodactyl,1,,71,7,9,4,1,45,70,0,35,0,1
143,snorlax,1,446,72,1,12,4,1,25,70,0,40,0,1
144,articuno,1,,73,2,9,5,-1,3,35,0,80,0,1
145,zapdos,1,,74,10,9,5,-1,3,35,0,80,0,1
146,moltres,1,,75,10,9,5,-1,3,35,0,80,0,1
147,dratini,1,,76,2,2,9,4,45,35,0,40,0,1
148,dragonair,1,147,76,2,2,9,4,45,35,0,40,0,1
149,dragonite,1,148,76,3,6,9,4,45,35,0,40,0,1
150,mewtwo,1,,77,7,6,5,-1,3,0,0,120,0,1
151,mew,1,,78,6,6,5,-1,45,100,0,120,0,4
152,chikorita,2,,79,5,8,3,1,45,70,0,20,0,4
153,bayleef,2,152,79,5,8,3,1,45,70,0,20,0,4
154,meganium,2,153,79,5,8,3,1,45,70,0,20,1,4
155,cyndaquil,2,,80,10,12,3,1,45,70,0,20,0,4
156,quilava,2,155,80,10,8,3,1,45,70,0,20,0,4
157,typhlosion,2,156,80,10,8,3,1,45,70,0,20,0,4
158,totodile,2,,81,2,6,9,1,45,70,0,20,0,4
159,croconaw,2,158,81,2,6,9,1,45,70,0,20,0,4
160,feraligatr,2,159,81,2,6,9,1,45,70,0,20,0,4
161,sentret,2,,82,3,8,3,4,255,70,0,15,0,2
162,furret,2,161,82,3,8,3,4,90,70,0,15,0,2
163,hoothoot,2,,83,3,9,2,4,255,70,0,15,0,2
164,noctowl,2,163,83,3,9,2,4,90,70,0,15,0,2
165,ledyba,2,,84,8,9,2,4,255,70,0,15,1,3
166,ledian,2,165,84,8,9,2,4,90,70,0,15,1,3
167,spinarak,2,,85,5,14,2,4,255,70,0,15,0,3
168,ariados,2,167,85,8,14,2,4,90,70,0,15,0,3
169,crobat,2,42,17,7,13,1,4,90,70,0,15,0,2
170,chinchou,2,,86,2,3,7,4,190,70,0,20,0,1
171,lanturn,2,170,86,2,3,7,4,75,70,0,20,0,1
172,pichu,2,,10,10,8,2,4,190,70,1,10,0,2
173,cleffa,2,,14,6,6,4,6,150,140,1,10,0,3
174,igglybuff,2,,16,6,12,3,6,170,70,1,10,0,3
175,togepi,2,,87,9,12,2,1,190,70,1,10,0,3
176,togetic,2,175,87,9,12,2,1,75,70,0,10,0,3
177,natu,2,,88,5,9,2,4,190,70,0,20,0,2
178,xatu,2,177,88,5,9,2,4,75,70,0,20,1,2
179,mareep,2,,89,9,8,3,4,235,70,0,20,0,4
180,flaaffy,2,179,89,6,6,3,4,120,70,0,20,0,4
181,ampharos,2,180,89,10,6,3,4,45,70,0,20,0,4
182,bellossom,2,44,18,5,12,3,4,45,70,0,20,0,4
183,marill,2,298,90,2,6,9,4,190,70,0,10,0,3
184,azumarill,2,183,90,2,6,9,4,75,70,0,10,0,3
185,sudowoodo,2,438,91,3,12,2,4,65,70,0,20,1,2
186,politoed,2,61,26,5,12,9,4,45,70,0,20,1,4
187,hoppip,2,,92,6,6,3,4,255,70,0,20,0,4
188,skiploom,2,187,92,5,6,3,4,120,70,0,20,0,4
189,jumpluff,2,188,92,2,6,3,4,45,70,0,20,0,4
190,aipom,2,,93,7,6,2,4,45,70,0,20,1,3
191,sunkern,2,,94,10,1,3,4,235,70,0,20,0,4
192,sunflora,2,191,94,10,12,3,4,120,70,0,20,0,4
193,yanma,2,,95,8,13,2,4,75,70,0,20,0,2
194,wooper,2,,96,2,7,9,4,255,70,0,20,1,2
195,quagsire,2,194,96,2,6,9,4,90,70,0,20,1,2
196,espeon,2,133,67,7,8,8,1,45,70,0,35,0,2
197,umbreon,2,133,67,1,8,8,1,45,35,0,35,0,2
198,murkrow,2,,97,1,9,2,4,30,35,0,20,1,4
199,slowking,2,79,33,6,6,9,4,70,70,0,20,0,2
200,misdreavus,2,,98,4,1,1,4,45,35,0,25,0,3
201,unown,2,,99,1,1,5,-1,225,70,0,40,0,2
202,wobbuffet,2,360,100,2,5,1,4,45,70,0,20,1,2
203,girafarig,2,,101,10,8,3,4,60,70,0,20,1,2
204,pineco,2,,102,4,1,2,4,190,70,0,20,0,2
205,forretress,2,204,102,7,1,2,4,75,70,0,20,0,2
206,dunsparce,2,,103,10,2,1,4,190,70,0,20,0,2
207,gligar,2,,104,7,9,4,4,60,70,0,20,1,4
208,steelix,2,95,41,4,2,1,4,25,70,0,25,1,2
209,snubbull,2,,105,6,12,8,6,190,70,0,20,0,3
210,granbull,2,209,105,7,6,8,6,75,70,0,20,0,3
211,qwilfish,2,,106,4,3,7,4,45,70,0,20,0,2
212,scizor,2,123,58,8,13,3,4,25,70,0,25,1,2
213,shuckle,2,,107,10,14,4,4,190,70,0,20,0,4
214,heracross,2,,108,2,12,2,4,45,70,0,25,1,1
215,sneasel,2,,109,1,6,2,4,60,35,0,20,1,4
216,teddiursa,2,,110,3,6,4,4,120,70,0,20,0,2
217,ursaring,2,216,110,3,6,4,4,60,70,0,20,1,2
218,slugma,2,,111,8,2,4,4,190,70,0,20,0,2
219,magcargo,2,218,111,8,2,4,4,75,70,0,20,0,2
220,swinub,2,,112,3,8,1,4,225,70,0,20,0,1
221,piloswine,2,220,112,3,8,1,4,75,70,0,20,1,1
222,corsola,2,,113,6,14,7,6,60,70,0,20,0,3
223,remoraid,2,,114,4,3,7,4,190,70,0,20,0,2
224,octillery,2,223,114,8,10,7,4,75,70,0,20,1,2
225,delibird,2,,115,8,9,4,4,45,70,0,20,0,3
226,mantine,2,458,116,7,9,7,4,25,70,0,25,0,1
227,skarmory,2,,117,4,9,6,4,25,70,0,25,0,1
228,houndour,2,,118,1,8,6,4,120,35,0,20,0,1
229,houndoom,2,228,118,1,8,6,4,45,35,0,20,1,1
230,kingdra,2,117,54,2,5,7,4,45,70,0,20,0,2
231,phanpy,2,,119,2,8,6,4,120,70,0,20,0,2
232,donphan,2,231,119,4,8,6,4,60,70,0,20,1,2
233,porygon2,2,137,68,8,7,8,-1,45,70,0,20,0,2
234,stantler,2,,120,3,8,2,4,45,70,0,20,0,1
235,smeargle,2,,121,9,6,8,4,45,70,0,20,0,3
236,tyrogue,2,,47,7,12,8,0,75,70,1,25,0,2
237,hitmontop,2,236,47,3,6,8,0,45,70,0,25,0,2
238,smoochum,2,,59,6,12,8,8,45,70,1,25,0,2
239,elekid,2,,60,10,12,3,2,45,70,1,25,0,2
240,magby,2,,61,8,6,4,2,45,70,1,25,0,2
241,miltank,2,,122,6,6,3,8,45,70,0,20,0,1
242,blissey,2,113,51,6,12,8,8,30,140,0,40,0,3
243,raikou,2,,123,10,8,3,-1,3,35,0,80,0,1
244,entei,2,,124,3,8,3,-1,3,35,0,80,0,1
245,suicune,2,,125,2,8,3,-1,3,35,0,80,0,1
246,larvitar,2,,126,5,6,4,4,45,35,0,40,0,1
247,pupitar,2,246,126,4,2,4,4,45,35,0,40,0,1
248,tyranitar,2,247,126,5,6,4,4,45,35,0,40,0,1
249,lugia,2,,127,9,9,5,-1,3,0,0,120,0,1
250,ho-oh,2,,128,8,9,5,-1,3,0,0,120,0,1
251,celebi,2,,129,5,12,2,-1,45,100,0,120,0,4
252,treecko,3,,130,5,6,2,1,45,70,0,20,0,4
253,grovyle,3,252,130,5,6,2,1,45,70,0,20,0,4
254,sceptile,3,253,130,5,6,2,1,45,70,0,20,0,4
255,torchic,3,,131,8,7,3,1,45,70,0,20,1,4
256,combusken,3,255,131,8,6,3,1,45,70,0,20,1,4
257,blaziken,3,256,131,8,6,3,1,45,70,0,20,1,4
258,mudkip,3,,132,2,8,9,1,45,70,0,20,0,4
259,marshtomp,3,258,132,2,6,9,1,45,70,0,20,0,4
260,swampert,3,259,132,2,6,9,1,45,70,0,20,0,4
261,poochyena,3,,133,4,8,3,4,255,70,0,15,0,2
262,mightyena,3,261,133,4,8,3,4,127,70,0,15,0,2
263,zigzagoon,3,,134,3,8,3,4,255,70,0,15,0,2
264,linoone,3,263,134,9,8,3,4,90,70,0,15,0,2
265,wurmple,3,,135,8,2,2,4,255,70,0,15,0,2
266,silcoon,3,265,135,9,1,2,4,120,70,0,15,0,2
